LINE-NUMBER,AUTHOR,TITLE,PUB-DATE,SENTENCE
1,Andrew Lang,Prince Prigio,1889,"With almost everything else to make them happy , they wanted one thing : they had no children ."
2,Andrew Lang,Prince Prigio,1889,"This vexed the king even more than the queen , who was very clever and learned , and who had hated dolls when she was a child ."
3,Andrew Lang,Prince Prigio,1889,"However , she , too in spite of all the books she read and all the pictures she painted , would have been glad enough to be the mother of a little prince ."
4,Andrew Lang,Prince Prigio,1889,"The king was anxious to consult the fairies , but the queen would not hear of such a thing ."
5,Andrew Lang,Prince Prigio,1889,"She did not believe in fairies : she said that they had never existed ; and that she maintained , though The History of the Royal Family was full of chapters about nothing else ."
6,Andrew Lang,Prince Prigio,1889,"Well , at long and at last they had a little boy , who was generally regarded as the finest baby that had ever been seen ."
7,Andrew Lang,Prince Prigio,1889,"Even her majesty herself remarked that , though she could never believe all the courtiers told her , yet he certainly was a fine child -- a very fine child ."
8,Andrew Lang,Prince Prigio,1889,"Now , the time drew near for the christening party , and the king and queen were sitting at breakfast in their summer parlour talking over it ."
9,Andrew Lang,Prince Prigio,1889,"It was a splendid room , hung with portraits of the royal ancestors ."
10,Andrew Lang,Prince Prigio,1889,"There was Cinderella , the grandmother of the reigning monarch , with her little foot in her glass slipper thrust out before her ."
11,Andrew Lang,Prince Prigio,1889,"There was the Marquis de Carabas , who , as everyone knows , was raised to the throne as prince consort after his marriage with the daughter of the king of the period ."
12,Andrew Lang,Prince Prigio,1889,"On the arm of the throne was seated his celebrated cat , wearing boots ."
13,Andrew Lang,Prince Prigio,1889,"There , too , was a portrait of a beautiful lady , sound asleep : this was Madame La Belle au Bois-dormant , also an ancestress of the royal family ."
14,Andrew Lang,Prince Prigio,1889,Many other pictures of celebrated persons were hanging on the walls .
15,Andrew Lang,Prince Prigio,1889,"`` You have asked all the right people , my dear ? '' said the king ."
16,Andrew Lang,Prince Prigio,1889,"`` Everyone who should be asked , '' answered the queen ."
17,Andrew Lang,Prince Prigio,1889,"`` People are so touchy on these occasions , '' said his majesty ."
18,Andrew Lang,Prince Prigio,1889,`` You have not forgotten any of our aunts ? ''
19,Andrew Lang,Prince Prigio,1889,"`` No ; the old cats ! '' replied the queen ; for the king 's aunts were old-fashioned , and did not approve of her , and she knew it ."
20,Andrew Lang,Prince Prigio,1889,"`` They are very kind old ladies in their way , '' said the king ; `` and were nice to me when I was a boy . ''"
21,Andrew Lang,Prince Prigio,1889,"Then he waited a little , and remarked : `` The fairies , of course , you have invited ?"
22,Andrew Lang,Prince Prigio,1889,"It has always been usual , in our family , on an occasion like this ; and I think we have neglected them a little of late . ''"
23,Andrew Lang,Prince Prigio,1889,`` How can you be so absurd ? '' cried the queen .
24,Andrew Lang,Prince Prigio,1889,`` How often must I tell you that there are no fairies ?
25,Andrew Lang,Prince Prigio,1889,"And even if there were -- but , no matter ; pray let us drop the subject . ''"
26,Andrew Lang,Prince Prigio,1889,"`` They are very old friends of our family , my dear , that 's all , '' said the king timidly ."
27,Andrew Lang,Prince Prigio,1889,`` Often and often they have been godmothers to us .
28,Andrew Lang,Prince Prigio,1889,"One , in particular , was most kind and most serviceable to Cinderella I. , my own grandmother . ''"
29,Andrew Lang,Prince Prigio,1889,`` Your grandmother ! '' interrupted her majesty .
30,Andrew Lang,Prince Prigio,1889,`` Fiddle-de-dee ! If anyone puts such nonsense into the head of my little Prigio -- '' 
31,Andrew Lang,Prince Prigio,1889,"But here the baby was brought in by the nurse , and the queen almost devoured it with kisses ."
32,Andrew Lang,Prince Prigio,1889,And so the fairies were not invited !
33,Andrew Lang,Prince Prigio,1889,"It was an extraordinary thing , but none of the nobles could come to the christening party when they learned that the fairies had not been asked ."
34,Andrew Lang,Prince Prigio,1889,Some were abroad ; several were ill ; a few were in prison among the Saracens ; others were captives in the dens of ogres .
35,Andrew Lang,Prince Prigio,1889,"The end of it was that the king and queen had to sit down alone , one at each end of a very long table , arrayed with plates and glasses for a hundred guests -- for a hundred guests who never came !"
36,Andrew Lang,Prince Prigio,1889,"`` Any soup , my dear ? '' shouted the king , through a speaking-trumpet ; when , suddenly , the air was filled with a sound like the rustling of the wings of birds ."
37,Andrew Lang,Prince Prigio,1889,"Flitter , flitter , flutter , went the noise ; and when the queen looked up , lo and behold ! on every seat was a lovely fairy , dressed in green , each with a most interesting-looking parcel in her hand ."
38,Andrew Lang,Prince Prigio,1889,Do n't you like opening parcels ?
39,Andrew Lang,Prince Prigio,1889,"The king did , and he was most friendly and polite to the fairies ."
40,Andrew Lang,Prince Prigio,1889,"But the queen , though she saw them distinctly , took no notice of them ."
41,Andrew Lang,Prince Prigio,1889,"You see , she did not believe in fairies , nor in her own eyes , when she saw them ."
42,Andrew Lang,Prince Prigio,1889,"So she talked across the fairies to the king , just as if they had not been there ; but the king behaved as politely as if they were real -- which , of course , they were ."
43,Andrew Lang,Prince Prigio,1889,"When dinner was over , and when the nurse had brought in the baby , all the fairies gave him the most magnificent presents ."
44,Andrew Lang,Prince Prigio,1889,"One offered a purse which could never be empty ; and one a pair of seven-leagued boots ; and another a cap of darkness , that nobody might see the prince when he put it on ; and another a wishing-cap ; and another a carpet , on which , when he sat , he was carried wherever he wished to find himself ."
